Modelo,Escenario,Varianza,Paso,ECRPS_Mean
EnCQR-LSTM,Estacionario_Lineal,1.0,2,0.7110675642448766
EnCQR-LSTM,Estacionario_Lineal,1.0,3,0.6661193327785002
EnCQR-LSTM,Estacionario_Lineal,1.0,4,0.6554870431271769
EnCQR-LSTM,Estacionario_Lineal,1.0,5,0.6587339746318385
EnCQR-LSTM,Estacionario_Lineal,3.0,1,1.221044803094476
EnCQR-LSTM,Estacionario_Lineal,3.0,2,1.2412736468845713
EnCQR-LSTM,Estacionario_Lineal,3.0,3,1.1798736581637428
EnCQR-LSTM,Estacionario_Lineal,3.0,4,1.2111427609086216
EnCQR-LSTM,Estacionario_Lineal,3.0,5,1.1374211691451384
EnCQR-LSTM,No_Estacionario_Lineal,0.2,1,1.7833818720770909
EnCQR-LSTM,No_Estacionario_Lineal,0.2,2,1.7654079771596278
EnCQR-LSTM,No_Estacionario_Lineal,0.2,3,1.7388087343653331
EnCQR-LSTM,No_Estacionario_Lineal,0.2,4,1.9279504954882225
EnCQR-LSTM,No_Estacionario_Lineal,0.2,5,1.9561731290708078
EnCQR-LSTM,No_Estacionario_Lineal,0.5,1,2.529394141294717
EnCQR-LSTM,No_Estacionario_Lineal,0.5,2,3.05954108866731
EnCQR-LSTM,No_Estacionario_Lineal,0.5,3,3.0066169407343026
EnCQR-LSTM,No_Estacionario_Lineal,0.5,4,2.7640722754473317
EnCQR-LSTM,No_Estacionario_Lineal,0.5,5,2.9461567975836105
EnCQR-LSTM,No_Estacionario_Lineal,1.0,1,3.5095744939106606
EnCQR-LSTM,No_Estacionario_Lineal,1.0,2,3.415402418367938
EnCQR-LSTM,No_Estacionario_Lineal,1.0,3,3.992349267628528
EnCQR-LSTM,No_Estacionario_Lineal,1.0,4,3.6707528792411064
EnCQR-LSTM,No_Estacionario_Lineal,1.0,5,4.009441164987931
EnCQR-LSTM,No_Estacionario_Lineal,3.0,1,6.246418412814287
EnCQR-LSTM,No_Estacionario_Lineal,3.0,2,6.313044062268078
EnCQR-LSTM,No_Estacionario_Lineal,3.0,3,6.433407334599987
EnCQR-LSTM,No_Estacionario_Lineal,3.0,4,6.330099811045479
EnCQR-LSTM,No_Estacionario_Lineal,3.0,5,5.845620540916737
EnCQR-LSTM,No_Lineal,0.2,1,0.3116564618983665
EnCQR-LSTM,No_Lineal,0.2,2,0.2913487134342482
